1,"$10\,000 Gold?",Steigt Gold auf 10.000 Dollar?
37947,But the warning is a stern one for Kim Jong-un: China may send him to the sidelines if he does not change his behavior.,"Sie haben alle mehr Geld\, als durch ihre offizielle Bezahlung erklärt werden könnte."
1052,"These pooled funds would enable farmers in poor countries to obtain the fertilizer\, improved seed varieties\, and small-scale irrigation equipment that they urgently need.","Mit diesen Mitteln können Bauern in armen Ländern Dünger\, verbessertes Saatgut und dringend benötigte kleine Bewässerungssysteme kaufen."
37948,US Secretary of State John Kerry is set to visit Beijing in the coming days.,"Die meisten haben Kinder\, die an teuren britischen oder amerikanischen Universitäten studieren."
1053,"Poor countries would receive prompt and predictable financing for agricultural inputs from a single account\, rather than from dozens of distinct and fragmented donors.",Arme Länder würden rasche und verlässliche Finanzierung für landwirtschaftliche Hilfsmittel aus einem einzigen Fonds und nicht von Dutzenden verschiedenen Gebern erhalten.
37949,"It is now time for American and Chinese leaders to negotiate a real and viable exit from the current crisis\, while productively exploring ways to restart the denuclearization process on the Korean peninsula.","Alle benehmen sich\, als stünden sie über den für Normalbürger gültigen Gesetzen."
37950,"If Kim’s bombast and nuclear threats lead to China-US bonding over a joint North Korea settlement\, the entire world will be the safer for it.",Ungewöhnlich an Bo war die Offenheit seiner Ambitionen.
1054,"By pooling financial resources into a single-donor FCM\, aid programs’ administrative costs could be kept low\, the availability of aid flows could be assured\, and poor countries would not have to negotiate 25 times in order to receive help. ","Indem man die finanziellen Mittel in einem FCM zusammenfasst\, kann man die Verwaltungskosten der Hilfsprogramme niedrig halten und die Verfügbarkeit der Mittel sichern. Darüber hinaus müssten die armen Länder nicht 25 Mal verhandeln\, bis sie Hilfe bekommen. "
1055,The time for business as usual is over.,Die Zeit des Normalbetriebs ist vorbei.
1056,"The donors promised to double aid to Africa by 2010\, but are still far off track.","Die Geberländer versprachen zwar\, die Hilfe für Afrika bis 2010 zu verdoppeln\, liegen aber immer noch weit hinter ihren Zusagen."
38251,"The EU sought to build a partnership of economic and political cooperation in the Mediterranean region\, for example\, in which financial assistance and trade liberalization would be contractually linked to progress in advancing human rights and developing democratic institutions.","Sollte sich der Fleischkonsum weiter erhöhen\, könnte sich die Produktion von Sojabohnen beinahe verdoppeln und zu einer entsprechenden Steigerung des Verbrauchs von Land\, Dünger\, Pestiziden und Wasser führen. Der erhöhte Futtermittelbedarf zur Viehfütterung würde die Preise für Lebensmittel und Land in die Höhe treiben\, was es den Armen der Welt immer mehr erschweren würde\, ihren Grundernährungsbedarf zu decken."
1057,"Indeed\, during the past 20 years\, they actually cut aid for agriculture programs\, and only now are reversing course.",In Wirklichkeit wurde die Hilfe für landwirtschaftliche Programme in den letzten 20 Jahren gekürzt und erst jetzt erfolgt ein Kurswechsel.
1058,"Meanwhile\, a billion people go hungry each day.",Unterdessen hungern jeden Tag eine Milliarde Menschen.
38252,This sensible objective was sabotaged by the tendency to overlook what was actually happening in some countries.,"Die Lage wird dadurch noch verschlimmert\, dass der Übergang von Mischnutzungssystemen oder traditionellem Anbau hin zur Großproduktion die Lebensgrundlagen im ländlichen Raum gefährdet\, insbesondere in Entwicklungsländern. Viehhirten\, Kleinproduzenten und unabhängige Bauern können mit niedrigen Verkaufspreisen\, die die wahren Umwelt- und Gesundheitskosten der Industrie ausblenden\, nicht konkurrieren."
1059,"We need a breakthrough that is demonstrable\, public\, clear\, and convincing\, that can mobilize the public’s hearts and minds\, and that can demonstrate success.","Wir brauchen einen herzeigbaren\, öffentlichen\, klaren und überzeugenden Durchbruch\, der die Herzen und den Verstand der Menschen mobilisiert und einen Erfolg demonstriert."
38253,"Many suspect that some EU member states\, while insisting on robust human-rights clauses in bilateral agreements with countries known to torture prisoners\, secretly aided in the rendition of suspected terrorists to these same countries.",Und die industrielle Viehwirtschaft mit ihren geringen Löhnen und schlechten Gesundheits- und Sicherheitsstandards bietet auf dem Arbeitsmarkt keine gute Alternative.
1060,"History can be made in Madrid at the end of January\, when the world’s richest and poorest countries converge to seek solutions to the global hunger crisis.","Ende Januar kann in Madrid Geschichte geschrieben werden\, wenn die reichsten und die ärmsten Länder der Welt zusammenkommen\, um Lösungen für die globale Hungerkrise zu finden."
1061,The lives of the billion poorest people depend on it.,Das Leben der ärmsten Milliarde Menschen hängt davon ab.
38254,I have no doubt that it is in the national interest of democracies to promote freedom and human rights.,Und schließlich ist da der Einfluss der industriellen Viehhaltung auf die öffentliche Gesundheit.
1062,A Breakthrough Opportunity for Global Health,Einzigartige Chance für die globale Gesundheit
1063,"NEW YORK – Every year\, millions of people die from preventable and treatable diseases\, especially in poor countries.",NEW YORK – Jedes Jahr sterben vor allem in armen Ländern Millionen Menschen an vermeidbaren und behandelbaren Krankheiten.
38255,"Though these values cannot be imposed by force or manufactured like instant coffee\, the world is likely to be more peaceful\, stable\, and prosperous the more that countries treat their own citizens decently.","Zunächst einmal trägt der exzessiv hohe Konsum von Fleisch und Milchprodukten zu ernährungsbedingten Gesundheitsproblemen wie Fettleibigkeit und Herz-Kreislauf-Erkrankungen bei. Dazu fördert die hohe Tierdichte auf engstem Raum die Ausbreitung von Infektionskrankheiten wie der Vogelgrippe\, die auf Menschen übergreifen können."
1064,"In many cases\, lifesaving medicines can be cheaply mass-produced\, but are sold at prices that block access to those who need them.","In vielen Fällen können lebensrettende Medikamente zwar in Massenproduktion kostengünstig hergestellt werden\, &#160;aber ihr Verkaufspreis liegt so hoch\, dass damit der Zugang für diejenigen\, die diese Arzneien brauchen\, blockiert ist."
38256,This is not a prescription for a soggy policy that denies the demands of the real world.,"Und Maßnahmen zur Beschränkung dieser Risiken wie die Vergabe geringer Dosen von Antibiotika zur Krankheitseindämmung (und Wachstumsbeschleunigung) führen zu einer öffentlichen Gesundheitskrise\, indem sie die Resistenz gegen antibakterielle Arzneimittel fördern."
1065,"And many die simply because there are no cures or vaccines\, because so little of the world’s valuable research talent and limited resources is devoted to addressing the diseases of the poor.","Und viele Menschen sterben\, weil es keine Behandlung für ihre Krankheit oder Impftstoffe gibt. Der Grund dafür ist\, dass nur ein geringer Teil der wertvollen Forschungsarbeit und der Ressourcen für die Krankheiten der Armen aufgewendet werden."
38257,But reliance on realpolitik as the guiding light of foreign policy has a pretty shabby track record.,"Dazu kommen noch die schrecklichen Bedingungen\, unter denen die Tiere selbst leiden\, da sich die Industrie gegen vernünftige Tierschutzstandards sperrt."
1066,This state of affairs represents a failure of economics and law that urgently needs to be corrected.,"Diese Sachlage stellt ein Versagen von Wirtschaft und Recht dar\, das dringend korrigiert werden muss."
38258,Realpolitik brought us the bombing of Cambodia and the mass killings under Pol Pot.,"Alles in allem fragt man sich\, wie es überhaupt möglich ist\, dass diese Industrie so groß werden konnte. Der Grund dafür liegt in ihrer oligopolistischen Macht\, die es industriellen Tierproduzenten ermöglicht\, ihre wahren Umwelt- und Sozialkosten zu externalisieren und auf Arbeiter und Steuerzahler abzuwälzen."
38259,"Moreover\, “realist” assumptions often turn out to be remarkably implausible.","Tatsächlich gibt es andere Wege\, den Bedarf der Welt an Fleisch und Milchprodukten zu decken."
1067,"The good news is that there are now opportunities for change\, most promisingly through an international effort headed by the World Health Organization that would begin to fix the broken intellectual-property regime that is holding back the development and availability of cheap drugs.","Die gute Nachricht ist\, dass mittlerweile neue Chancen auf einen Wandel bestehen. Am vielversprechendsten ist dabei eine Initiative der Weltgesundheitsorganisation\, mit der man das unzulängliche Regelwerk für geistiges Eigentum korrigieren könnte\, das der Entwicklung und der Verfügbarkeit billiger Medikament im Weg steht."
1068,Two main problems limit the availability of medicines today.,Die Verfügbarkeit von Medikamenten ist heute aufgrund zweier Hauptprobleme eingeschränkt.
38260,Trade deals often are not secured or sustained by political kowtows.,"In der Europäischen Union müssten nur zwei Hauptbestandteile der Gemeinsamen Landwirtschaftspolitik geändert werden\, um die Verwerfungen des Produktionssystems drastisch zu verringern. Die Umsetzung dieser Änderungen würde ein klares Signal senden\, dass die europäischen Politiker die Wünsche der Konsumenten ernst nehmen."
1069,"One is that they are very costly; or\, more accurately\, the price charged for them is very high\, though the cost of producing them is but a fraction of that amount.","Erstens sind Medikamente sehr teuer; oder genauer gesagt\, der Preis\, der dafür verlangt wird\, ist sehr hoch\, obwohl die Produktionskosten nur einen Bruchteil dieses Betrags ausmachen."
38261,"Countries buy what they need and sell what they can at the best price they can get\, regardless of whether another country has or has not written a ministerial communiqué.","Die erste Änderung würde darin bestehen\, den Import von genetisch veränderten Futtermitteln zu verbieten\, und zu verlangen\, dass Landwirte mindestens die Hälfte ihrer Tierfuttermittel in ihren eigenen Betrieben herstellen. Klare Regeln zur Futtermittelbeschaffung würden internationale Nährstoffungleichgewichte beenden und die Macht multinationaler landwirtschaftlicher Gentechnikkonzerne wie Monsanto verringern."
1070,"Second\, drug development is geared toward maximizing profit\, not social benefit\, which skews efforts directed at the creation of medicines that are essential to human welfare.","Zweitens ist die Entwicklung von Medikamenten auf Gewinnmaximierung ausgerichtet und nicht auf sozialen Nutzen. Das verzerrt die Anstrengungen zur Entwicklung von Medikamenten\, die von zentraler Bedeutung für das Wohlergehen der Menschen sind."
38262,"Rather\, all relevant policies – from aid to political and security cooperation – should be related to strengthening the institutions and values to which one adheres.",Darüber hinaus würden Gülle und Mist nicht mehr über lange Strecken transportiert und könnten auf dem eigenen Land des Bauern zum Futtermittelanbau verwendet werden.
1071,"Because the poor have so little money to spend\, drug companies\, under current arrangements\, have little incentive to do research on the diseases that afflict them.","Weil den Armen so wenig Geld zur Verfügung steht\, haben die Medikamentenhersteller unter den gegenwärtigen Bedinungen wenig Anreize\, sich der Erforschung von Krankheiten zu widmen\, von denen die Armen betroffen sind. &#160;"
1072,It doesn’t have to be this way.,Das muss nicht sein.
38263,All of this brings me back to July 1 of this year.,"Zweitens muss der unnötige Eintrag von Antibiotika in Tränk- und Fütterungssysteme verboten werden. Dies würde die Landwirte dazu zwingen\, Tiere auf Grundlage tierärztlicher Diagnosen individuell gegen Krankheiten zu behandeln."
1073,Drug companies argue that high prices are necessary to fund research and development.,"Die Pharmaunternehmen argumentieren\, dass es hoher Preise bedarf\, um Forschung und Entwicklung zu finanzieren."
38264,"While I was listening to “Fidelio\,”tens of thousands of Hong Kongers (organizers say hundreds of thousands) were demonstrating for liberty.","In den Vereinigten Staaten könnte die Arzneimittelbehörde Food and Drug Administration die nichttherapeutische Verwendung von Antibiotika verbieten. Und die Agrargesetzprogramme des US-Landwirtschaftsministeriums könnten nachhaltige Ansätze zur Fleischproduktion dadurch fördern\, dass sie freilaufende Tierhaltung stärker unterstützen."
38265,"They want a fair and open system for electing their government\, and to defend the freedom and rule of law that make Hong Kong so special and successful\, a genuinely liberal – in the classical sense – society.",Natürlich wären diese Aktionen nur wichtige erste Schritte.
1074,"But\, in the United States\, it is actually the government that finances most health-related research and development – directly\, through public support (National Institutes of Health\, National Science Foundation)\, and indirectly\, through public purchases of medicine\, both in the Medicare and Medicaid programs.","In den Vereinigten Staaten allerdings finanziert eigentlich der Staat den Großteil der Forschung und Entwicklung im Gesundheitsbereich – entweder direkt durch öffentliche Unterstützung (Nationales Gesundheitsinstitut\, Nationale Wissenschaftsstiftung) oder indirekt durch Ankäufe von Medikamenten für die Gesundheitsprogramme Medicare und Medicaid."
1075,Even the part that is not government-financed is not a conventional market; most individuals’ purchases of prescription medicines are covered by insurance.,"Aber nicht einmal der nicht vom Staat finanzierte Teil ist ein konventioneller Markt\, denn der Großteil der Ausgaben für verschriebene Medikamente ist durch Versicherungen gedeckt."
38266,"Eventually\, Hong Kong’s people will get what they want\, despite China’s objections; freedom invariably wins in the end.","Im Zuge des Wachstums der Mittelklasse in den Schwellenländern ist es wichtig zu erkennen\, dass die bestehenden westlichen Modelle der Produktion und des Konsums von Fleisch keine Grundlage für die Zukunft sein können. Es wird Zeit\, ein System zu entwickeln\, das unseren ökologischen\, sozialen und ethischen Grenzen Achtung entgegen bringt."
1076,Government finances health-care research because improved medicines are a public good.,"Der Staat finanziert die Forschung im Gesundheitsbereich\, weil es sich bei verbesserten Medikamenten um ein öffentliches Gut handelt."
38267,But China’s rulers would take a giant step forward by recognizing that such aspirations are not a threat to the country’s wellbeing.,Herstellung von Einigkeit bei der transatlantischen Finanzregulierung
1077,The resulting knowledge benefits everyone by stopping epidemics and limiting the economic and human toll of widespread illness.,"Von dem aus dieser Forschung resultierenden Wissen profitieren alle\, und zwar durch Eindämmung von Epidemien und die Begrenzung der aufgrund weit verbreiteter Krankheiten entstehenden wirtschaftlichen und menschlichen Kosten."
38268,"For now\, however\, China\, a great country and a growing power\, is handling its economic affairs with more sophistication and a surer touch than it is addressing its political challenges.","WASHINGTON\, DC – Mit Jahresbeginn 2014 häufen sich die Anzeichen einer zunehmenden Verschlechterung der Beziehung zwischen Europäischer Union und USA in Regulierungsfragen."
1078,Efficiency requires sharing research as widely as possible as soon as it is available.,"Effizienz erfordert die weitestgehende gemeinsame Nutzung von Forschungsergebnissen\, sobald diese verfügbar sind."
38269,सस्ते मांस की ऊंची कीमत,Die strengen neuen Regeln für ausländische Banken der US Federal Reserve haben die Europäische Kommission zur Androhung von Vergeltungsmaßnahmen veranlasst.
1079,"Thomas Jefferson compared knowledge to candles: when one is used to light another\, it does not diminish the light of the first.","Thomas Jefferson verglich Wissen mit Kerzen: Auch wenn mit der Flamme einer Kerze eine andere Kerze entzündet wird\, brennt ihr eigenes Licht nicht schwächer."
1080,"On the contrary\, everything becomes brighter.","Im Gegenteil\, alles wird heller. &#160;&#160;"
1081,"Yet\, in America and most of the world\, drug prices are still exorbitant and the spread of knowledge is tightly limited.",Und doch sind in Amerika und dem Großteil der Welt die Medikamentenpreise noch immer exorbitant hoch und die Verbreitung des Wissens eng begrenzt.
38270,"बर्लिन – फैक्टरी-शैली में पशुधन उत्पादन कृषि औद्योगिकीकरण को आगे बढ़ाने में अहम कारक है. इसका निरंतर विस्तार जलवायु परिवर्तन\, जंगलों की कटाई\, जैव विविधता ह्रास तथा मानव अधिकारों के हनन में अपना योगदान दे रहा है – केवल पश्चिम समाजों की सस्ते मांस के लिए अस्वास्थ्यकर भूख को शांत करने के लिए.",Fortschritte bei der Abstimmung der US- und EU-Regeln für Derivate – einer der Hauptursachen der Finanzkrise – gibt es nicht mehr.
38271,,"Und die Pläne der EU und Großbritanniens\, Bankeinlagen „abzugrenzen“\, dürften in Form und Inhalt absehbar sowohl voneinander als auch von der jüngst in den USA vorgestellten Volcker-Regel abweichen."
1082,"That is because we have created a patent system that gives innovators a temporary monopoly over what they create\, which encourages them to hoard their knowledge\, lest they help a competitor.","Der Grund dafür ist\, dass wir ein Patentsystem geschaffen haben\, das den Innovatoren ein zeitweiliges Monopol über ihr Werk einräumt\, was diese wiederum ermutigt\, ihr Wissen unter Verschluss zu halten\, um damit nicht der Konkurrenz zu helfen."
1083,"While this system does provide incentives for certain kinds of research by making innovation profitable\, it allows drug companies to drive up prices\, and the incentives do not necessarily correspond to social returns.","Während dieses System zwar für einige Forschungsarten Anreize bietet\, weil dadurch Innovation profitablel wird\, ermöglicht es auf der anderen Seite den Pharmaunternehmen die Preise in die Höhe zu treiben und die Anreize entsprechen nicht unbedingt den sozialen Erträgen."
1084,"In the health-care sector\, it may be more profitable to devote research to a “me-too” drug than to the development of a treatment that really makes a difference.","Auf dem Gesundheitssektor kann es profitabler sein\, sich der Forschung für ein Analogpräparat zu widmen\, als der Entwicklung einer Behandlung\, die wirklich etwas bewirkt."
38272,यूरोप और संयुक्त राज्य अमेरिका 20वीं सदी में सबसे बड़े मांस उपभोक्ता थे. वहां हर साल एक औसत व्यक्ति 60-90 किलोग्राम (132-198 पौंड) मांस खा जाया करता था. यह मात्रा मनुष्यों की पोषण आवश्यकताओं से कहीं अधिक थी. हालांकि आज पश्चिमी खपत दरें स्थिर हो गई हैं और कई क्षेत्रों में कम भी हो रही हैं लेकिन कुल मिला कर अभी भी वे संसार के अधिकांश अन्य इलाकों से कहीं ऊंची बनी हुई हैं.,"Die meisten Beobachter ziehen aus diesen zunehmend in den Blickpunkt der Öffentlichkeit rückenden Streitigkeiten den Schluss\, dass selbst im Bereich der Finanzregulierung Machtpolitik vor Gemeinwohl geht. Doch dies ist nur ein Teil der Wahrheit."
1085,"The patent system may even have adverse effects on innovation\, because\, while the most important input into any research is prior ideas\, the patent system encourages secrecy.","Das Patentsystem kann auf Innovation sogar nachteilige Auswirkungen haben\, weil es die Geheimhaltung fördert\, während der wichtigste Beitrag für jede Art der Forschung aus früheren Ideen besteht."
1086,A solution to both high prices and misdirected research is to replace the current model with a government-supported prize fund.,Eine Lösung für die Probleme hoher Preise und fehlgeleiteter Forschung ist der Ersatz des aktuellen Modells durch einen staatlich unterstützten Preisfonds.
13975,"NEW YORK – It is obvious that the left and the media establishment in the United States cannot fully understand the popular appeal of the two Republican tigresses in the news – first Sarah Palin\, and now\, as she consolidates her status as a Republican presidential front-runner\, Michele Bachmann.","NEW YORK – Es ist offenkundig\, dass die Linke und das Medien-Establishment in den USA die Popularität der zwei republikanischen Tigerinnen nicht ganz verstehen – zuerst Sarah Palin und nun Michele Bachmann\, die ihren Status als mögliche republikanische Präsidentschaftskandidatin festigt."
1087,"With a prize system\, innovators are rewarded for new knowledge\, but they do not retain a monopoly on its use.","Mit einem derartigen Preissystem werden Innovatoren für neues Wissen belohnt\, aber sie bekommen kein Monopol auf die Nutzung dieses Wissens."
13976,What do they have that other candidates don’t –&#160;and that so many Americans seem to want?,"Was haben die beiden\, das anderen Kandidaten abgeht – und das so viele Amerikaner offenbar wollen?"
13977,Both Bachmann and Palin are regularly derided in the mainstream press.,Sowohl Bachmann als auch Palin werden in der Mainstream-Presse regelmäßig vorgeführt.
1088,"That way\, the power of competitive markets can ensure that\, once a drug is developed\, it is made available at the lowest possible price – not at an inflated monopoly price.","Auf diese Weise kann der Wettbewerb auf den Märkten sicherstellen\, dass ein Medikament nach seiner Entwicklung nicht zu einem überhöhten Monopol-Preis\, sondern zum niedrigstmöglichen Preis zur Verfügung steht."
38273,"इसी दौरान उदयीमान अर्थव्यवस्थाओं – खासकर ब्रिक्स (ब्राजील\, रूस\, भारत\, चीन और दक्षिण अफ्रीका) कहे जाने वाले देशों में तेजी से बढ़ती मध्यम वर्गीय आबादी अपनी खान-पान की आदतों में बदलाव ला रही है और इस मामले में अमीर देशों के लोगों के साथ होड़ कर रही है. आने वाले दशकों में\, जैसे-जैसे आमदनी बढ़ रही है वैसे-वैसे मांस व डेरी उत्पादों की मांग भी बढ़ेगी.",Schließlich sind Regulierungsunterschiede nicht nur ein Produkt voneinander abweichender nationaler Interessen; auch die Frage der Effektivität diplomatischer Bemühungen und Koordination kann eine Rolle spielen.
1089,"Fortunately\, some US lawmakers are taking a strong interest in this approach.",Glücklicherweise interessieren sich einige amerikanische Abgeordnete stark für diesen Ansatz.
1090,"The Prize Fund for HIV/AIDS Act\, a congressional bill introduced by Senator Bernie Sanders\, is just such an initiative.",Der von Senator Bernie Sanders eingebrachte Gesetzesentwurf Prize Fund for HIV/AIDS Act ist nicht einfach nur eine Initiative.
13978,"In Palin’s case\, the dominant perception is that she is an intellectual lightweight: a clip of her unable to mention a single newspaper or news magazine that she reads regularly got millions of hits on YouTube during the last presidential election.","Palin wird vorwiegend als intellektuelles Leichtgewicht wahrgenommen. Während des&#160; letzten Präsidentschaftswahlkampfes wurde auf YouTube ein Video Millionen Mal angeklickt\, in dem Palin nicht eine einzige Zeitung oder ein Nachrichtenmagazin nennen konnte\, das zu ihrer regelmäßigen Lektüre gehört."
13979,"Bachmann\, on the other hand\,&#160;is portrayed as being slightly unhinged.",Bachmann hingegen wird als leicht gestört dargestellt.
1091,"His bill also contains an important provision aimed at encouraging open-source research\, which would move the current research model away from secrecy toward sharing.",Darin enthalten sind auch wichtige Bestimmungen hinsichtlich der Förderung der Open-Source-Forschung. Damit soll der Schwerpunkt des aktuellen Forschungsmodell von Geheimhaltung in Richtung gemeinsame Wissensnutzung verschoben werden.&#160;
1092,"But\, globally\, our innovation system needs much bigger changes.",Global betrachtet benötigt unser Innovationssystem allerdings viel tiefgreifendere Veränderungen.
13980,"Indeed\, I can attest from personal experience that to debate her is to encounter someone who is absolutely certain of facts that must exist somewhere in a parallel universe.","Tatsächlich kann ich aus eigener Erfahrung berichten\, dass man bei Diskussionen mit ihr auf eine Persönlichkeit stößt\, die von manchen Fakten absolut überzeugt ist\, die irgendwo in einem Paralleluniversum existieren müssen."
38274,"इस मांग को पूरा करने के लिए कृषि व्यवसाय में लगी दुनिया की फर्में अपने मांस उत्पादन को वर्तमान 30 करोड़ टन से सन् 2050 तक 48 करोड़ टन तक बढ़ाने का प्रयास करेंगी. इससे अनेक गंभीर सामाजिक चुनौतियां उत्पन्न होंगी और मूल्यवर्धन श्रृंखला की प्रत्येक अवस्था (पशु आहार आपूर्ति\, उत्पादन\, प्रसंस्करण और खुदरा बिक्री) में पारिस्थितिकीय दबाव भी पड़ेगा.","So wirft eine aktuelle Studie ein Schlaglicht auf das Versäumnis der Staats- und Regierungschefs der G20\, einen in sich widerspruchsfreien\, praktikablen Fahrplan zur Umsetzung der im Gefolge der Finanzkrise 2008 angekündigten Finanzreformen festzulegen."
1093,The WHO’s efforts to encourage broad reforms at the international level are crucial.,Die Bemühungen der WHO für breit angelegte Reformen auf internationaler Ebene sind von entscheidender Bedeutung.
13981,But it would be a mistake simply to dismiss their appeal with no effort to comprehend its source.,"Aber es wäre ein Fehler\, sich über die Anziehungskraft der beiden einfach hinwegzusetzen\, ohne den Grund dafür zu verstehen."
13982,This is especially true of Bachmann.,Das gilt vor allem für Bachmann.
1094,"This spring\, the WHO released a report that recommends solutions similar to those proposed in the US Senate bill\, but on a global level.","In diesem Frühjahr veröffentlichte die WHO einen Bericht\, in dem für die internationale Ebene ähnliche Lösungen wie in dem amerikanischen Gesetzesentwurf empfohlen werden."
13983,"Palin has not managed to secure the support and mentorship of the Republican Party establishment\, and will continue to showcase her odd appeal as a media personality.","Palin ist es nicht gelungen\, sich die Unterstützung und Mentorschaft des republikanischen Establishments zu sichern. Sie wird ihre merkwürdige Anziehungskraft weiterhin als Medienpersönlichkeit präsentieren."
13984,"But Bachman\, weirdly\, might become President of the United States.","Bachmann\, allerdings könnte befremdlicherweise Präsidentin der Vereinigten Staaten werden."
38275,उद्योग-शैली के पशुधन उत्पादन में एक बड़ी समस्या यह है कि इससे ग्रीन हाउस गैसों का उत्सर्जन बढ़ता है. और ऐसा केवल इसलिए नहीं कि जुगाली करने वाले पशुओं की पाचन प्रक्रिया मीथेन उत्पन्न करती है. इन पशुओं के गोबर व मूत्र तथा उनके चारे के उत्पादन में प्रयुक्त रसायनिक खाद व कीटनाशक भारी मात्रा में नाइट्रोजन आक्साइड उत्पन्न करते हैं.,"Seit rund einem Jahrzehnt fordern die Staats- und Regierungschefs die Regulierer immer wieder auf\, wichtige Fragen wie die Eigenkapitalanforderungen sowie weitere Probleme wie OTC-Derivate und Reformen bei der Bonitätsbewertung in Angriff zu nehmen."
13985,The nature of their attraction has to do with two strains in American thought to which the US left and media establishment are truly blind.,"Die Anziehungskraft der beiden hat mit zwei Tendenzen in der amerikanischen Denkart zu tun\, denen gegenüber die Linke und das Medien-Establishment in den USA vollkommen blind sind."
1095,"Importantly\, the report\, “Research and Development to Meet Health Needs in Developing Countries\,” recommends a comprehensive approach\, including mandatory funding contributions from governments for research on developing countries’ health needs; international coordination of health-care priorities and implementation; and a global observatory that would monitor where needs are greatest.","In diesem Bericht unter dem Titel „Research and Development to Meet Health Needs in Developing Countries\,” wird ein umfassender Ansatz propagiert\, einschließlich verpflichtender finanzieller Beiträge der Staaten für die Forschung im Bereich Gesundheitsversorgung in Entwicklungsländern; internationale Koordination der Prioritäten im Gesundheitsbereich und deren Umsetzung sowie eine globale Überwachungseinrichtun\, die erhebt\, wo der Bedarf am größten ist."
1096,"In late May\, the international community will have a chance to begin implementing these ideas at the WHO World Health Assembly – a moment of hope for public health around the world.","Ende Mai wird die internationale Gemeinschaft die Chance haben\, diese Ideen bei der Weltgesundheitsversammlung der WHO in die Tat umzusetzen – ein Moment der Hoffnung für die öffentliche Gesundheit auf der ganzen Welt."
13986,"One is the American tradition of populist demagoguery – a tradition that\, in the twentieth century\, included the racist Father Charles Coughlin in the 1930’s\, the anti-Communist witch-hunter Joe McCarthy in the 1950’s\, and the radical Malcolm X in the 1960’s.","Eine davon ist die amerikanische Tradition der populistischen Demagogie&#160; - einer Tradition\, der im 20. Jahrhundert der rassistische Priester Charles Coughlin in den 1930er Jahren ebenso anhing wie der antikommunistische Hexenjäger Joe McCarthy in den 1950ern und der radikale Malcolm X in den 1960er Jahren."
1097,"Reforming our innovation system is not just a matter of economics. It is\, in many cases\, a matter of life and death.","Die Reform unseres Innovationssystems ist nicht nur eine Frage der Ökonomie\, sondern in vielen Fällen von Leben und Tod."
13987,"Populist leaders inspire passionate devotion\, usually in people who feel (and often are) economically\, politically\, and culturally marginalized.","Populistische Führer inspirieren meist jene Menschen zu leidenschaftlicher Hingabe\, die sich wirtschaftlich\, politisch und kulturell an den Rand gedrängt fühlen (und es oftmals auch tatsächlich sind)."
38276,"इसके अलावा\, उद्योग मॉडल अपनाने का अर्थ है भूमि उपयोग में व्यापक परिवर्तन तथा जंगलों की कटाई जो चारा उत्पादन से आरंभ होती है. वर्तमान आंकडों के म���ताबिक\, कुल कृषि भूमि का लगभग एक-तिहाई चारा या पशु आहार उत्पादन में उपयोग होता है. इसमें यदि चराई समेत पशुधन उत्पादन के संपूर्ण भाग को शामिल कर किया जाए तो यह उपयोग करीब 70% तक हो जाता है.","Doch haben die Zuständigen während dieses Zeitraums mehr oder weniger nach eigenem Ermessen schalten und walten können\, was dazu geführt hat\, dass die die Probleme gemäß den unterschiedlichen wirtschaftlichen und politischen Zyklen in Angriff genommen werden müssen."
1098,"It is therefore essential to de-link R&amp;D incentives from drug prices\, and to promote greater sharing of scientific knowledge.","Daher ist es von entscheidender Bedeutung\, die Anreize im Bereich F&amp;E von den Medikamentenpreisen zu entkoppeln und die verbesserte gemeinsame Nutzung wissenschaftlicher Erkenntnisse zu fördern."
13988,"These populist movements’ energy can be directed for good or ill\, but demagogues in America embrace similar tactics to fuel their rise to visibility and power.","Diese Energie populistischer Bewegungen kann sich zum Guten oder zum Schlechten wenden\, aber die Demagogen in Amerika setzen ähnliche Taktiken ein\, um ihren Aufstieg zu Sichtbarkeit und Macht zu fördern."
1099,"For America\, the Sanders bill marks important progress.",Für Amerika markiert der Sanders-Gesetzesentwurf einen bedeutenden Fortschritt.
13989,They use emotive rhetoric.,Sie bedienen sich emotionaler Rhetorik.
13990,"They often invent shadowy networks of “elite” forces ranged against the ordinary\, decent American.","Oftmals erfinden sie dunkle „Eliten-Netzwerke“\, die sich gegen gewöhnliche\, anständige Amerikaner richten."
13991,They create an “us versus them” scenario.,Sie erschaffen ein Szenario des „wir gegen sie“.
1100,"For the world\, the WHO’s recommendations represent a once-in-a-generation opportunity to remedy a long-standing and egregious inequity in health care\, and\, more broadly\, to set a model for governance of global public goods befitting an era of globalization.","Für die ganze Welt stellen die Empfehlungen der WHO eine seltene und einzigartige Gelegenheit dar\, langjährige und bodenlose Ungerechtigkeiten in der Gesundheitsversorgung abzustellen und ganz allgemein ein Regime für globale öffentliche Güter zu entwickeln\, das dem Zeitalter der Globalisierung entspricht."
13992,And they ask their listeners to believe that they alone will restore American dignity and articulate the wishes of the unheard.,"Und sie wollen ihr Publikum glauben machen\, dass nur sie allein die Würde Amerikas wiederherstellen und die Wünsche der Ungehörten artikulieren. &#160;"
1101,We cannot afford to let this opportunity pass us by.,"Wir können es uns nicht leisten\, diese Gelegenheit zu verpassen."
1102,A Centerless Euro Cannot Hold,Ohne zentrale (Be-)Steuerung kein Euro
